country,sex,age_min,age_max,deaths,asof,nat.reg,continent
Monaco,M,90,14,314.0,28/05/2020,nat,North America
Georgia,B,45,89,4938.0,20/09/2020,reg,Europe
Finland,F,1,110,14.0,01/07/2020,reg,South America
Monaco,F,80,9,136.0,16/09/2020,nat,Europe
Cuba,M,50,69,0.0,21/05/2020,reg,Africa
Colombia,F,35,89,1402.0,13/09/2020,reg,Africa
Spain,M,70,9,501.0,11/06/2020,reg,Europe
Slovenia,M,90,110,2834.0,01/07/2020,reg,Africa
Brazil,F,80,9,52.0,13/09/2020,reg,North America
Lebanon,B,10,110,10.0,11/06/2020,reg,North America
Slovakia,M,0,14,40.0,13/09/2020,reg,Africa
Liechtenstein,M,50,49,0.0,28/05/2020,reg,Africa
Armenia,F,40,44,249.0,13/09/2020,reg,North America
Venezuela,M,50,9,14.0,11/06/2020,reg,Asia
Slovakia,F,20,110,188.0,29/05/2020,reg,Africa
Liechtenstein,F,20,9,4.0,20/09/2020,nat,South America
Iran,F,60,39,679.0,04/07/2020,reg,Asia
Liechtenstein,M,40,44,0.0,07/09/2020,reg,Asia
Slovenia,M,0,9,5.0,11/06/2020,nat,Europe
Costa Rica,F,45,79,469.0,19/09/2020,reg,Africa
Greece,F,40,69,28.0,11/02/2020,reg,Europe
Moldova,M,10,110,150.0,04/07/2020,reg,Europe
Iran,F,80,54,3286.0,29/05/2020,nat,Africa
New Zealand,M,10,110,569.0,11/02/2020,reg,North America
Cyprus,F,40,44,130.0,19/09/2020,reg,Europe
Liechtenstein,M,60,110,0.0,19/09/2020,reg,Europe
Brazil,F,50,39,0.0,30/06/2020,nat,North America
Liechtenstein,M,20,29,0.0,18/09/2020,reg,Europe
Costa Rica,M,30,49,0.0,18/09/2020,nat,North America
Georgia,M,40,59,43.0,18/09/2020,nat,North America
Spain,F,80,64,2058.0,16/09/2020,nat,Europe
Iran,M,50,44,5.0,18/09/2020,nat,Africa
Brazil,B,60,89,2078.0,27/07/2020,nat,South America
Venezuela,F,5,49,2.0,18/09/2020,nat,Asia
Liechtenstein,M,85,14,9.0,04/07/2020,reg,Europe
South Korea,M,80,9,683.0,03/06/2020,reg,Europe
Portugal,M,75,34,359.0,19/09/2020,reg,South America
Cuba,M,40,19,7.0,03/06/2020,reg,Africa
Venezuela,M,1,79,4.0,20/09/2020,reg,Europe
Armenia,F,10,49,1.0,19/09/2020,reg,Africa
Costa Rica,M,20,9,4739.0,11/06/2020,reg,Asia
Kazakhstan,F,80,74,28.0,11/06/2020,reg,Europe
Colombia,M,60,64,39.0,11/06/2020,nat,Africa
Bosnia & Herzegovina,M,0,89,1384.0,19/09/2020,reg,Europe
Cuba,M,85,84,4893.0,11/06/2020,reg,Asia
Brazil,M,30,79,32.0,27/07/2020,nat,Asia
Slovakia,F,40,9,1129.0,04/07/2020,reg,Asia
Peru,M,70,69,60.0,04/07/2020,reg,Europe
Colombia,M,80,4,61.0,19/09/2020,reg,South America
Latvia,F,50,59,15.0,19/09/2020,reg,Europe
Costa Rica,M,45,59,0.0,28/05/2020,reg,Europe
Algeria,F,80,69,1.0,07/09/2020,reg,Africa
New Zealand,M,30,110,1.0,21/05/2020,nat,Africa
Iran,M,80,110,0.0,18/09/2020,nat,Asia
Iran,F,60,19,1.0,29/05/2020,nat,Europe
Pakistan,F,75,110,5.0,18/09/2020,reg,Europe
Iran,M,60,89,3.0,19/09/2020,nat,Africa
New Zealand,F,30,19,5.0,27/07/2020,reg,North America
Dominican Republic,M,25,34,849.0,11/09/2020,reg,Africa
Brazil,M,50,79,4.0,27/07/2020,nat,North America
Latvia,F,0,17,116.0,11/06/2020,reg,Africa
Spain,M,10,59,1229.0,18/09/2020,reg,Europe
Austria,M,30,59,44.0,15/09/2020,reg,Europe
Georgia,M,40,9,1670.0,04/07/2020,reg,North America
Australia,M,65,4,2856.0,11/06/2020,reg,Europe
Cyprus,F,60,39,2436.0,11/06/2020,reg,Europe
Latvia,F,10,79,0.0,11/06/2020,nat,Asia
Austria,M,50,74,2.0,04/07/2020,reg,Africa
Greece,F,0,9,186.0,01/07/2020,reg,Asia
Peru,M,40,24,14.0,13/09/2020,reg,Europe
Slovakia,M,35,69,135.0,18/09/2020,reg,Africa
Lebanon,F,60,9,44.0,11/02/2020,reg,Africa
Greece,F,65,84,3135.0,16/09/2020,reg,Asia
Liechtenstein,F,35,9,249.0,19/09/2020,reg,Europe
Greece,F,80,39,186.0,03/06/2020,reg,Asia
Armenia,M,80,39,0.0,11/06/2020,reg,Europe
North Macedonia,B,25,110,2601.0,21/05/2020,reg,North America
Pakistan,M,45,79,718.0,27/07/2020,reg,North America
North Macedonia,B,0,69,399.0,04/07/2020,reg,South America
Lebanon,M,80,69,2405.0,20/09/2020,nat,Europe
Liechtenstein,M,20,59,30.0,11/02/2020,reg,Europe
Cyprus,M,20,89,46.0,30/06/2020,nat,North America
North Macedonia,M,35,1,9.0,21/05/2020,reg,Africa
Latvia,M,85,69,73.0,21/05/2020,reg,Europe
Australia,M,85,49,8.0,21/05/2020,reg,Europe
Georgia,M,70,89,0.0,28/05/2020,reg,Asia
Costa Rica,M,0,74,10.0,16/09/2020,nat,Europe
Lebanon,M,45,54,93.0,21/05/2020,reg,Africa
North Macedonia,M,60,19,6491.0,29/05/2020,nat,Europe
Dominican Republic,M,10,59,0.0,30/06/2020,reg,North America
Finland,F,80,29,5.0,29/05/2020,reg,Africa
Slovenia,M,20,44,133.0,18/09/2020,reg,Asia
Venezuela,M,80,14,0.0,11/02/2020,reg,Asia
