X,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior.metropolitana
755.0,Norte,AC,,12,,,,2020-08-27,19,210147125,5169386,691,840.0,0.0,,,
8.0,Norte,RO,,11,,,,2020-11-07,19,4144597,31218,8,697.0,3.0,,647672.0,
418.0,Norte,RO,,76,,,,2020-07-26,23,881935,30642,2126,1474.0,19.0,,,
928.0,Norte,RO,,11,,,,2020-03-16,10,210147125,3057470,209,722.0,2.0,2976796.0,,
577.0,Norte,RO,,12,,,,2020-05-17,9,1777225,83526,328,2400.0,9.0,,507869.0,
152.0,Norte,RO,,11,,,,2020-03-04,28,1777225,22132,57,17971.0,905.0,200892.0,,
4.0,Norte,AM,,11,,,,2020-07-06,28,1777225,20339,10222,1193.0,514.0,,,
62.0,Brasil,AM,,12,,,,2020-10-27,11,210147125,5612319,915,460.0,10.0,,,
521.0,Norte,RO,,76,,,,2020-08-02,24,210147125,19132,345,353.0,2.0,,,
795.0,Norte,RO,,12,,,,2020-02-26,26,1777225,14952,480,3317.0,128.0,,278331.0,
330.0,Norte,RO,,76,,,,2020-10-28,36,1777225,22169,241,469.0,749.0,,,
123.0,Norte,RO,,76,,,,2020-11-28,34,881935,2857597,5097,3299.0,407.0,,,
538.0,Norte,AM,,76,,,,2020-11-07,16,881935,100940,20229,152460.0,231.0,,,
678.0,Norte,,,13,,,,2020-05-26,47,881935,175,2,1065.0,0.0,4756489.0,,
62.0,Norte,AM,,13,,,,2020-11-19,16,4144597,279,0,69184.0,5.0,,,
833.0,Norte,RO,,76,,,,2020-11-15,21,1777225,12644,404,135793.0,907.0,,,
296.0,Norte,RO,,12,,,,2020-09-07,12,1777225,43866,484,1964.0,0.0,,499414.0,
835.0,Norte,RO,,12,,,,2020-04-21,14,1777225,35304,146,1.0,5.0,51370.0,,
515.0,Norte,AC,,76,,,,2020-04-14,23,1777225,3605783,0,3118.0,1269.0,,,
993.0,Norte,AM,,76,,,,2020-11-01,35,1777225,58559,330,2780.0,8.0,1409202.0,47221.0,
351.0,Norte,RO,,11,,,,2020-05-24,27,1777225,28802,281,213.0,13.0,,,
648.0,Norte,RO,,12,,,,2020-06-15,41,4144597,5748375,6633,108536.0,2.0,,,
2.0,Brasil,AM,,76,,,,2020-05-01,19,881935,1,158,165.0,1269.0,4817898.0,,
839.0,Norte,RO,,12,,,,2020-06-22,30,1777225,64306,16324,304.0,4.0,852816.0,,
705.0,Norte,AC,,12,,,,2020-04-19,11,1777225,24638,0,3193.0,3.0,2404272.0,,
111.0,Norte,RO,,13,,,,2020-05-18,29,1777225,83230,95,53.0,1179.0,,,
855.0,Norte,AC,,76,,,,2020-10-18,20,881935,0,841,107232.0,23.0,,,
4.0,Norte,,,12,,,,2020-08-14,27,881935,16865,0,1375.0,6.0,,647672.0,
278.0,Norte,RO,,76,,,,2020-07-12,16,210147125,5981767,20647,0.0,6.0,,,
939.0,Norte,AC,,11,,,,2020-10-14,40,4144597,73530,38693,47748.0,4.0,,,
202.0,Norte,RO,,11,,,,2020-08-18,25,1777225,4927235,496,607.0,8.0,,689157.0,
517.0,Norte,RO,,76,,,,2020-10-19,18,1777225,955377,0,3268.0,8.0,,,
101.0,Norte,RO,,76,,,,2020-05-27,36,1777225,29017,367,43332.0,552.0,,,
897.0,Norte,AM,,12,,,,2020-03-31,14,881935,214,11843,23.0,13.0,,529852.0,
335.0,Brasil,RO,,76,,,,2020-11-26,28,881935,5000694,539,162628.0,0.0,,,
202.0,Norte,AM,,12,,,,2020-09-22,21,881935,15181,3,391.0,102.0,,,
82.0,Norte,,,13,,,,2020-11-04,42,210147125,0,15,22013.0,1.0,,,
871.0,Norte,AM,,11,,,,2020-10-21,24,1777225,1050,70,576.0,230.0,,,
99.0,Brasil,,,76,,,,2020-07-27,12,4144597,1145906,1145,15633.0,33.0,,,
