report_date,report_time_24h,report_country,report_region,num_death,date_of_death
2020-02-28,1899-12-31 13:20:00,Jamaica,Nana-Grébizi,3.0,
2020-03-02,1899-12-31 14:45:00,Sri Lanka,Nana-Mambéré,,2020-02-01
2020-02-24,1899-12-31 10:00:00,Colombia,Nana-Mambéré,4.0,
2020-03-02,1899-12-31 22:34:00,Algeria,Nana-Grébizi,1.0,2020-02-13
2020-02-20,1899-12-31 09:30:00,Malta,Nana-Grébizi,,2020-02-01
2020-02-24,1899-12-31 19:19:00,Cambodia,Nana-Mambéré,17.0,2020-02-01
2020-02-28,1899-12-31 15:30:00,Jamaica,Ouaka,4.0,
2020-02-20,1899-12-31 14:06:00,Cambodia,Nana-Mambéré,8.0,
2020-02-27,1899-12-31 13:13:00,Gibraltar,Ouaka,,2020-02-01
2020-02-28,1899-12-31 11:27:00,Croatia,Nana-Grébizi,4.0,
2020-02-22,1899-12-31 22:34:00,Croatia,Ouaka,,
2020-02-13,1899-12-31 09:36:00,Jamaica,Nana-Mambéré,2.0,2020-02-15
2020-02-27,1899-12-31 05:10:00,Malta,Nana-Grébizi,1.0,2020-02-15
2020-02-22,1899-12-31 09:30:00,Jamaica,Ouaka,,2020-02-15
2020-02-24,1899-12-31 12:13:00,Sri Lanka,Nana-Mambéré,,2020-02-01
2020-02-02,1899-12-31 05:10:00,Colombia,Nana-Grébizi,1.0,
2020-02-13,1899-12-31 05:10:00,Monaco,Ouaka,,2020-02-13
2020-02-02,1899-12-31 00:01:00,Malta,Ouaka,1.0,2020-02-15
2020-02-13,1899-12-31 15:01:00,Croatia,Ouaka,1.0,2020-02-13
2020-02-28,1899-12-31 14:07:00,Colombia,Nana-Mambéré,1.0,2020-02-01
2020-02-19,1899-12-31 12:48:00,Suriname,Nana-Grébizi,,
2020-02-22,1899-12-31 05:10:00,Colombia,Ouaka,,
2020-02-21,1899-12-31 15:01:00,Jamaica,Nana-Grébizi,,2020-02-13
2020-02-19,1899-12-31 10:00:00,Algeria,Nana-Grébizi,,2020-02-01
