region,date,sero_est,lower_ci,upper_ci,est_inf,inf_lower,inf_upper,n_pos,n_tested
London,October 2020,0.109,0.019,0.13,710000,343000,208000,87,841
Scotland,June 2020,0.115,0.012,0.064,103000,292000,844000,9,1162
Northern Ireland,November 2020,0.035,0.096,0.061,61000,130000,344000,64,219
Scotland,June 2020,0.043,0.031,0.094,52000,6000,1338000,3,10587
East Midlands,June 2020,0.035,0.009,0.065,51000,79000,168000,35,171
North West,November 2020,0.04,0.002,0.073,137000,274000,447000,136,243
Scotland,September 2020,0.057,0.021,0.075,376000,5000,97000,19,2017
Scotland,October 2020,0.043,0.025,0.071,664000,7000,2821000,25,171
South West,December 2020,0.063,0.002,0.078,516000,120000,4234000,64,1922
West Midlands,September 2020,0.071,0.016,0.127,664000,636000,501000,6,1983
South West,November 2020,0.074,0.041,0.127,223000,79000,331000,10,3073
South West,June 2020,0.065,0.056,0.067,143000,130000,780000,14,2232
Northern Ireland,June 2020,0.027,0.046,0.203,71000,489000,82000,17,569
North West,October 2020,0.024,0.041,0.075,349000,238000,443000,55,2763
East Midlands,May 2020,0.035,0.046,0.072,601000,115000,322000,18,10587
North West,June 2020,0.095,0.038,0.097,382000,209000,565000,103,1906
Scotland,June 2020,0.078,0.015,0.064,934000,518000,284000,204,1539
Scotland,December 2020,0.056,0.05,0.188,1051000,79000,807000,902,651
West Midlands,November 2020,0.03,0.028,0.127,224000,53000,465000,1540,420
East Midlands,September 2020,0.095,0.072,0.114,664000,209000,203000,214,2622
South West,September 2020,0.043,0.011,0.088,438000,573000,190000,902,1059
Wales,September 2020,0.063,0.096,0.052,451000,7000,3492000,295,3449
South West,November 2020,0.062,0.076,0.064,263000,201000,552000,51,470
West Midlands,May 2020,0.054,0.069,0.065,190000,243000,595000,103,320
East of England,December 2020,0.115,0.046,0.109,710000,685000,157000,7,1434
South East,December 2020,0.121,0.016,0.063,2569000,636000,430000,166,47
Scotland,November 2020,0.032,0.025,0.175,382000,636000,827000,295,290
South West,August 2020,0.074,0.047,0.064,2454000,5189000,166000,19,15436
North West,July 2020,0.046,0.116,0.067,143000,238000,466000,17,791
East Midlands,December 2020,0.023,0.006,0.114,226000,23000,3492000,25,2621
North East,September 2020,0.046,0.069,0.072,934000,164000,368000,902,2392
Wales,December 2020,0.063,0.028,0.129,167000,582000,979000,353,2111
Scotland,August 2020,0.054,0.006,0.112,153000,130000,827000,75,1726
Scotland,December 2020,0.093,0.031,0.131,735000,353000,194000,187,1906
South West,December 2020,0.059,0.033,0.114,77000,2288000,337000,5,243
London,May 2020,0.054,0.014,0.058,601000,243000,166000,18,282
South West,December 2020,0.1,0.031,0.066,104000,175000,273000,19,522
London,May 2020,0.049,0.073,0.16,106000,50000,470000,7,444
Scotland,September 2020,0.109,0.02,0.065,1162000,115000,920000,162,1539
Yorkshire and The Humber,July 2020,0.04,0.018,0.13,2847000,322000,166000,40,47
East Midlands,September 2020,0.035,0.036,0.073,137000,179000,4290000,39,2232
Scotland,December 2020,0.052,0.018,0.076,179000,582000,807000,162,420
Yorkshire and The Humber,December 2020,0.089,0.02,0.1,401000,139000,420000,133,15436
East of England,May 2020,0.093,0.103,0.066,213000,205000,359000,75,2597
East Midlands,November 2020,0.023,0.018,0.13,401000,582000,4234000,89,529
North East,September 2020,0.051,0.021,0.039,601000,79000,501000,108,1364
London,December 2020,0.093,0.05,0.13,159000,139000,194000,103,1903
South West,August 2020,0.089,0.021,0.188,224000,59000,755000,2,1504
London,October 2020,0.078,0.01,0.097,415000,88000,501000,6,166
East Midlands,May 2020,0.02,0.038,0.149,664000,785000,443000,242,282
North East,July 2020,0.093,0.118,0.1,76000,243000,885000,19,219
East of England,August 2020,0.074,0.036,0.064,676000,55000,564000,50,1539
North West,September 2020,0.074,0.014,0.136,382000,35000,1735000,123,47
London,September 2020,0.038,0.021,0.115,274000,92000,157000,51,156
East Midlands,December 2020,0.114,0.038,0.067,279000,98000,526000,12,1221
East of England,November 2020,0.095,0.056,0.136,103000,560000,257000,5,219
Wales,September 2020,0.067,0.024,0.117,451000,215000,524000,19,791
Yorkshire and The Humber,August 2020,0.057,0.01,0.097,401000,2036000,847000,19,2392
North West,December 2020,0.119,0.007,0.055,438000,188000,398000,177,539
East Midlands,June 2020,0.06,0.031,0.064,376000,61000,470000,3,687
Scotland,December 2020,0.02,0.051,0.064,212000,209000,194000,2,791
Northern Ireland,May 2020,0.074,0.098,0.076,61000,231000,844000,108,1216
Yorkshire and The Humber,June 2020,0.083,0.076,0.144,104000,322000,526000,7,2392
East Midlands,June 2020,0.063,0.065,0.063,299000,1057000,3397000,39,266
Scotland,December 2020,0.114,0.03,0.114,4002000,5189000,552000,9,1216
North East,December 2020,0.168,0.074,0.121,297000,243000,466000,2205,197
Yorkshire and The Humber,October 2020,0.089,0.04,0.078,223000,179000,3397000,162,324
Scotland,November 2020,0.042,0.01,0.11,434000,27000,229000,11,71
London,December 2020,0.148,0.03,0.076,376000,187000,470000,30,6730
North West,December 2020,0.038,0.056,0.179,601000,115000,471000,9,1104
Scotland,September 2020,0.089,0.036,0.058,143000,27000,190000,42,687
North West,October 2020,0.112,0.014,0.078,362000,27000,436000,57,2763
West Midlands,September 2020,0.083,0.08,0.063,29000,569000,359000,108,411
Scotland,September 2020,0.046,0.043,0.073,29000,55000,943000,46,3073
East Midlands,December 2020,0.046,0.051,0.078,269000,46000,230000,123,651
London,September 2020,0.098,0.016,0.064,76000,507000,420000,34,569
West Midlands,November 2020,0.078,0.031,0.109,1051000,1057000,465000,9,2392
East Midlands,December 2020,0.059,0.042,0.076,146000,98000,885000,64,6730
Northern Ireland,September 2020,0.093,0.018,0.066,601000,166000,844000,39,654
East Midlands,November 2020,0.023,0.028,0.188,206000,214000,471000,162,282
London,October 2020,0.063,0.021,0.179,143000,88000,402000,28,2392
East of England,December 2020,0.065,0.01,0.121,153000,418000,203000,103,243
Northern Ireland,July 2020,0.051,0.051,0.064,214000,134000,447000,30,20878
London,July 2020,0.06,0.012,0.127,438000,238000,203000,19,2055
West Midlands,December 2020,0.04,0.051,0.086,166000,53000,463000,14,1434
East Midlands,June 2020,0.041,0.057,0.13,213000,123000,447000,12,3073
Northern Ireland,November 2020,0.089,0.02,0.131,29000,95000,943000,48,370
England,October 2020,0.08,0.02,0.062,224000,27000,284000,39,2017
London,December 2020,0.062,0.084,0.145,262000,2895000,463000,197,737
North East,December 2020,0.046,0.048,0.097,166000,573000,470000,89,20878
South West,October 2020,0.093,0.052,0.087,223000,322000,979000,47,290
East Midlands,December 2020,0.057,0.013,0.161,451000,573000,284000,353,2211
London,December 2020,0.049,0.046,0.115,516000,231000,707000,42,266
East Midlands,December 2020,0.049,0.031,0.149,115000,222000,501000,5,156
