iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ALB,Asia,Afghanistan,2020-06-07,98631,117,35.0,699.0,4.0,6.714,1111.353,1.361,5.858,37.813,4.865,1.737,1.11,,,,,,,,,,,,,,,,,,,,,,,65.74,2877800,54.422,29.1,6.211,8.643,13913.839,1.1,304.195,9.59,0.7,,37.746,1.9,64.83,0.785
AND,Asia,Andorra,2020-09-01,11031,15,656.286,154.0,1.0,9.429,0.283,13.842,3.056,35.096,0.068,0.111,0.82,,,,,,,,,,,,,,,,,,,,,,,65.74,2877800,54.422,38.0,13.188,1.337,11803.431,0.5,597.029,10.08,7.1,30.4,37.746,0.5,76.88,0.785
DZA,Asia,Albania,2020-03-05,71652,45,142.143,1.0,9.0,0.571,997.088,11.562,2.433,210.23,0.154,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,71.3,43851043,17.348,29.1,13.188,3.857,11803.431,0.5,304.195,10.08,,51.2,83.741,2.89,64.83,0.858
AFG,Asia,Afghanistan,2020-09-14,42297,127,161.571,1653.0,3.0,0.429,1207.269,44.131,4.893,35.398,0.0,0.103,1.22,,,,,,,,,,,,,,,,,,,,,,,79.63,2877800,104.871,29.1,13.188,8.643,13913.839,0.5,304.195,9.59,0.7,51.2,83.741,1.9,78.57,0.498
ALB,Asia,Andorra,2020-06-09,26211,21,39.0,31.0,,0.0,1071.918,2.668,5.965,39.663,2.085,0.062,0.87,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341,54.422,29.1,2.581,1.337,,1.1,597.029,10.08,,,83.741,1.9,64.83,0.785
DZA,Asia,Afghanistan,2021-01-20,19689,69,17.571,74.0,21.0,7.0,922.67,40.656,0.514,9.582,2.085,0.037,1.22,,,,,,,,,,,,,,,,,,,,,,,78.7,43851043,17.348,18.6,13.188,8.643,11803.431,,278.364,6.73,7.1,51.2,,0.5,64.83,0.498
ALB,Asia,Andorra,2020-11-04,81212,189,0.0,978.0,10.0,0.429,795.23,5.472,0.0,10.772,0.137,0.15,0.86,,,,,,,,,,,,,,,,,,,,,,,65.74,38928341,104.871,29.1,6.211,8.643,13913.839,0.5,278.364,9.59,,30.4,,1.9,76.88,0.754
DZA,Asia,Afghanistan,2020-04-27,3007,786,41.429,34.0,2.0,3.571,0.023,10.878,4.19,24.121,0.0,1.787,0.9,,,,,,,,,,,,,,,,,,,,,,,65.74,38928341,17.348,29.1,13.188,8.643,13913.839,,278.364,9.59,0.7,30.4,,1.9,64.83,0.498
ALB,Europe,Afghanistan,2020-02-27,12226,153,86.0,672.0,0.0,4.857,12.942,15.393,,10.262,0.051,0.176,1.47,,,,,,,,,,,,,,,,,,,,,,,12.04,38928341,17.348,29.1,13.188,8.643,1803.987,0.5,278.364,10.08,7.1,,83.741,0.5,76.88,0.754
AND,Asia,Andorra,2020-02-28,57146,99,8.0,1464.0,2.0,11.857,47.009,2.463,7.645,17.314,0.283,0.081,1.08,,,,,,,,,,,,,,,,,,,,,,,72.22,38928341,54.422,18.6,6.211,1.337,11803.431,,597.029,9.59,0.7,30.4,,1.9,78.57,0.498
