date,county,state,fips,cases,deaths
18/02/2020,Ramsey,Kansas,36119.0,4,0
07/02/2020,Solano,Massachusetts,6059.0,1,0
22/01/2020,Monmouth,Massachusetts,42127.0,4,0
29/02/2020,Chelan,Missouri,6041.0,1,0
07/03/2020,Broward,Massachusetts,51810.0,1,0
02/03/2020,Williamson,New York,55025.0,5,0
15/02/2020,Berkshire,Florida,53035.0,1,0
27/02/2020,Spokane,Maryland,6037.0,2,0
21/02/2020,Madera,Florida,6013.0,1,0
01/03/2020,Yolo,Wisconsin,17031.0,4,0
23/01/2020,Monmouth,New Jersey,13121.0,2,0
22/02/2020,Madera,Indiana,6085.0,3,0
31/01/2020,Suffolk,Texas,51059.0,2,0
27/01/2020,Ulster,Virginia,53063.0,1,0
08/03/2020,Manatee,Massachusetts,53061.0,2,0
01/03/2020,Larimer,North Carolina,6037.0,2,0
01/03/2020,Broward,Ohio,17031.0,5,0
04/03/2020,Clark,Oregon,49035.0,1,0
05/03/2020,Eagle,Massachusetts,4013.0,1,0
07/03/2020,Fayette,New Hampshire,47187.0,1,0
23/01/2020,Spartanburg,Florida,6061.0,1,0
10/02/2020,King,Virginia,6085.0,1,0
26/02/2020,Contra Costa,North Carolina,,1,1
22/01/2020,Klamath,Tennessee,13121.0,1,0
02/03/2020,Collin,Pennsylvania,51810.0,1,0
24/01/2020,Napa,Rhode Island,12081.0,1,0
22/02/2020,Hudson,Minnesota,6041.0,1,1
06/02/2020,Berkshire,Oklahoma,6059.0,1,0
13/02/2020,Eagle,Pennsylvania,25025.0,1,0
07/02/2020,Fairfax,Washington,6097.0,12,0
07/03/2020,Johnson,Utah,33009.0,1,0
05/03/2020,Cherokee,Illinois,25025.0,4,0
28/02/2020,Hillsborough,Kansas,53061.0,2,0
02/03/2020,Manatee,Louisiana,53061.0,3,18
01/03/2020,Madera,Oregon,49035.0,1,0
01/03/2020,Placer,Tennessee,6073.0,1,0
29/02/2020,King,New Hampshire,34003.0,1,0
08/02/2020,Broward,Washington,12015.0,2,0
15/02/2020,Williamson,Nebraska,42045.0,1,0
06/02/2020,Bexar,Wisconsin,6089.0,1,0
21/02/2020,Grafton,Pennsylvania,6037.0,2,0
01/03/2020,Santa Cruz,Massachusetts,48157.0,5,0
21/02/2020,Bexar,New York,49053.0,1,0
07/02/2020,Montgomery,Texas,31055.0,1,0
27/02/2020,Solano,Pennsylvania,25025.0,1,0
30/01/2020,Grafton,Hawaii,6041.0,4,0
17/02/2020,Fairfield,Nebraska,13121.0,11,0
05/03/2020,Klamath,Florida,37183.0,1,0
18/02/2020,Rockland,New Jersey,8031.0,1,0
09/02/2020,Manatee,Wisconsin,6023.0,1,0
26/02/2020,New York City,Illinois,8035.0,2,1
11/02/2020,Santa Cruz,Florida,4013.0,1,0
29/01/2020,Manatee,Virginia,53061.0,2,0
22/02/2020,Volusia,Kansas,6061.0,1,0
20/02/2020,Virginia Beach city,Tennessee,6073.0,1,0
21/02/2020,Fort Bend,Texas,48029.0,3,0
06/02/2020,Floyd,New Hampshire,6023.0,20,0
02/03/2020,St. Louis,Wisconsin,49035.0,15,0
01/02/2020,Santa Cruz,South Carolina,,2,0
01/02/2020,Placer,Hawaii,6087.0,1,0
26/02/2020,Polk,Hawaii,36087.0,2,0
24/02/2020,Placer,Massachusetts,25003.0,81,0
28/02/2020,El Paso,Wisconsin,6073.0,3,0
17/02/2020,Tulsa,New York,12015.0,1,0
01/02/2020,Placer,Colorado,31055.0,3,0
15/02/2020,Jackson,Pennsylvania,6073.0,4,0
22/02/2020,Sonoma,New Hampshire,4019.0,1,0
05/02/2020,Solano,Massachusetts,17031.0,3,0
03/02/2020,District of Columbia,Ohio,18097.0,1,0
08/02/2020,Fulton,Wisconsin,6073.0,2,0
08/02/2020,Bergen,Louisiana,55025.0,7,0
19/02/2020,Shelby,Vermont,12057.0,1,0
03/03/2020,DeKalb,Washington,6023.0,1,0
22/02/2020,Floyd,Virginia,34007.0,1,0
04/03/2020,Hillsborough,Maryland,13057.0,1,0
23/01/2020,Broward,Rhode Island,6075.0,3,0
10/02/2020,Pottawattamie,Massachusetts,53063.0,1,0
06/02/2020,Madera,Missouri,55025.0,1,0
05/02/2020,Fairfield,Indiana,6073.0,3,0
05/03/2020,Kittitas,South Carolina,41067.0,1,0
08/02/2020,Honolulu,Oklahoma,25027.0,1,0
09/02/2020,Alameda,Minnesota,55025.0,4,0
25/01/2020,Hillsborough,District of Columbia,6097.0,1,0
22/01/2020,Kittitas,Wisconsin,,2,0
28/02/2020,Spokane,Georgia,32003.0,1,0
26/02/2020,Solano,Maryland,55025.0,12,1
10/02/2020,Passaic,Indiana,48029.0,1,0
08/02/2020,Hillsborough,Texas,6055.0,1,0
21/02/2020,Fresno,Missouri,47187.0,1,0
22/02/2020,Tulsa,Maryland,6059.0,1,0
29/01/2020,Shelby,Massachusetts,6001.0,8,0
27/02/2020,Maricopa,Wisconsin,40143.0,2,0
07/03/2020,Hillsborough,North Carolina,17031.0,11,0
22/02/2020,Montgomery,Arizona,4013.0,1,0
20/02/2020,Cherokee,Rhode Island,4013.0,14,0
02/02/2020,Wayne,Tennessee,11001.0,1,0
26/01/2020,Clark,Kansas,17031.0,1,0
29/02/2020,Carver,Iowa,6037.0,11,0
01/02/2020,Floyd,Texas,53011.0,8,0
01/02/2020,Williamson,Tennessee,36119.0,14,0
25/01/2020,Rockland,Florida,6095.0,1,0
31/01/2020,Fulton,Illinois,32031.0,1,0
08/02/2020,Monmouth,Virginia,49035.0,1,0
21/02/2020,Honolulu,Maryland,6023.0,12,0
01/02/2020,Klamath,Minnesota,6037.0,1,0
09/02/2020,Polk,Louisiana,6095.0,1,0
30/01/2020,Hudson,Virginia,53063.0,1,0
11/02/2020,Dane,Maryland,31055.0,1,0
29/01/2020,Rockingham,Georgia,6095.0,1,0
