REP_COUNTRY,Date,WEEK_AUTO,NEW_CONF_CASES,NEW_PROB_CASES,NEW_CONF_DEATHS,NEW_PROB_DEATHS,NEW_CONF_PROB_HOSPITALIZED,NEW_CONF_PROB_DISCHARGED,NEW_CONF_PROB_HCW_CASES,NEW_CONF_PROB_HCW_DEATHS,TESTED,TESTED_PCR,TRANS_CLASS,NEW_CASES_CONF_PROB_0-4_F,NEW_CASES_CONF_PROB_0-4_M,NEW_CASES_CONF_PROB_5-9_F,NEW_CASES_CONF_PROB_5-9_M,NEW_CASES_CONF_PROB_10-14_F,NEW_CASES_CONF_PROB_10-14_M,NEW_CASES_CONF_PROB_15-19_F,NEW_CASES_CONF_PROB_15-19_M,NEW_CASES_CONF_PROB_20-29_F,NEW_CASES_CONF_PROB_20-29_M,NEW_CASES_CONF_PROB_30-39_F,NEW_CASES_CONF_PROB_30-39_M,NEW_CASES_CONF_PROB_40-49_F,NEW_CASES_CONF_PROB_40-49_M,NEW_CASES_CONF_PROB_50-59_F,NEW_CASES_CONF_PROB_50-59_M,NEW_CASES_CONF_PROB_60-64_F,NEW_CASES_CONF_PROB_60-64_M,NEW_CASES_CONF_PROB_65-69_F,NEW_CASES_CONF_PROB_65-69_M,NEW_CASES_CONF_PROB_70-74_F,NEW_CASES_CONF_PROB_70-74_M,NEW_CASES_CONF_PROB_75-79_F,NEW_CASES_CONF_PROB_75-79_M,NEW_CASES_CONF_PROB_80PLUS_F,NEW_CASES_CONF_PROB_80PLUS_M,NEW_CASES_CONF_PROB_UNK_AGE_F,NEW_CASES_CONF_PROB_UNK_AGE_M,NEW_CASES_CONF_PROB_UNK_AGE_UNK_GENDER,NEW_DEATHS_CONF_PROB_0-4_F,NEW_DEATHS_CONF_PROB_0-4_M,NEW_DEATHS_CONF_PROB_5-9_F,NEW_DEATHS_CONF_PROB_5-9_M,NEW_DEATHS_CONF_PROB_10-14_F,NEW_DEATHS_CONF_PROB_10-14_M,NEW_DEATHS_CONF_PROB_15-19_F,NEW_DEATHS_CONF_PROB_15-19_M,NEW_DEATHS_CONF_PROB_20-29_F,NEW_DEATHS_CONF_PROB_20-29_M,NEW_DEATHS_CONF_PROB_30-39_F,NEW_DEATHS_CONF_PROB_30-39_M,NEW_DEATHS_CONF_PROB_40-49_F,NEW_DEATHS_CONF_PROB_40-49_M,NEW_DEATHS_CONF_PROB_50-59_F,NEW_DEATHS_CONF_PROB_50-59_M,NEW_DEATHS_CONF_PROB_60-64_F,NEW_DEATHS_CONF_PROB_60-64_M,NEW_DEATHS_CONF_PROB_65-69_F,NEW_DEATHS_CONF_PROB_65-69_M,NEW_DEATHS_CONF_PROB_70-74_F,NEW_DEATHS_CONF_PROB_70-74_M,NEW_DEATHS_CONF_PROB_75-79_F,NEW_DEATHS_CONF_PROB_75-79_M,NEW_DEATHS_CONF_PROB_80PLUS_F,NEW_DEATHS_CONF_PROB_80PLUS_M,NEW_DEATHS_CONF_PROB_UNK_AGE_F,NEW_DEATHS_CONF_PROB_UNK_AGE_M,NEW_DEATHS_CONF_PROB_UNK_AGE_UNK_GENDER
French Polynesia,2022-01-17,44.0,346.0,19.0,0.0,0.0,,1825.0,8.0,0.0,—,277662502（人次）,,3.0,77.0,21.0,33.0,9.0,17.0,43.0,,54.0,65.0,269.0,2120.0,91.0,1164.0,158.0,119.0,40.0,114.0,336.0,31.0,5.0,14.0,2.0,158.0,43.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
French Polynesia,2022-05-23,33.0,1475.0,5.0,0.0,0.0,,4391.0,8.0,0.0,—,1092033195（人次）,CLUSTERS,221.0,3.0,118.0,263.0,157.0,25.0,55.0,86.0,41.0,118.0,102.0,230.0,130.0,380.0,200.0,22.0,30.0,50.0,12.0,7.0,1.0,3.0,7.0,12.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0
French Polynesia,2022-01-31,5.0,413.0,2.0,0.0,,2536.0,2867.0,293.0,0.0,—,124424959（人次）,,3.0,194.0,21.0,20.0,67.0,11.0,48.0,11.0,719.0,35.0,45.0,85.0,842.0,1329.0,94.0,,213.0,24.0,7.0,15.0,5.0,24.0,17.0,10.0,11.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,2022-04-10,42.0,4404.0,2.0,0.0,0.0,781.0,,85.0,0.0,,1005457961（人次）,CLUSTERS,,273.0,212.0,261.0,433.0,36.0,256.0,4.0,661.0,,,,49.0,117.0,382.0,808.0,28.0,9.0,196.0,6.0,,3.0,3.0,16.0,261.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,2022-05-23,41.0,358.0,0.0,0.0,,12308.0,834.0,39.0,0.0,,1132805668（人次）,CLUSTERS,233.0,15.0,5.0,9.0,2.0,34.0,316.0,8.0,33.0,,73.0,1975.0,18.0,1245.0,158.0,1905.0,,114.0,4.0,,9.0,14.0,130.0,3.0,,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,,0.0,0.0
French Polynesia,2022-07-18,,4404.0,0.0,0.0,0.0,2456.0,2753.0,16.0,,—,205771861（人次）,CLUSTERS,122.0,68.0,30.0,30.0,1.0,34.0,,6.0,843.0,135.0,1154.0,159.0,82.0,117.0,690.0,112.0,12.0,3.0,44.0,76.0,22.0,11.0,10.0,49.0,73.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,5.0,0.0,118.0,,0.0,0.0,0.0
French Polynesia,2022-08-22,46.0,4181.0,0.0,121.0,0.0,4181.0,3171.0,13.0,0.0,,1080392277（人次）,CLUSTERS,6.0,,38.0,37.0,2.0,16.0,30.0,18.0,120.0,959.0,301.0,,79.0,301.0,84.0,43.0,54.0,106.0,7.0,28.0,208.0,172.0,11.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,34.0,0.0,0.0,
French Polynesia,2022-04-18,45.0,1672.0,6.0,0.0,0.0,4181.0,2753.0,7.0,0.0,—,238433555（人次）,CLUSTERS,152.0,4.0,138.0,21.0,182.0,21.0,52.0,18.0,79.0,73.0,74.0,54.0,49.0,117.0,,123.0,281.0,263.0,244.0,434.0,0.0,14.0,8.0,11.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,
French Polynesia,2022-08-22,,2535.0,3.0,0.0,0.0,14118.0,1230.0,4.0,0.0,—,3118309770（人次）,CLUSTERS,122.0,170.0,27.0,100.0,109.0,12.0,115.0,217.0,54.0,,,137.0,27.0,142.0,91.0,123.0,75.0,149.0,244.0,40.0,195.0,3.0,16.0,12.0,114.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,2022-10-24,6.0,1358.0,0.0,0.0,0.0,1565.0,511.0,1.0,0.0,,1053420024（人次）,CLUSTERS,4.0,257.0,40.0,261.0,166.0,44.0,82.0,,203.0,180.0,102.0,42.0,1503.0,138.0,1214.0,190.0,10.0,24.0,316.0,26.0,19.0,14.0,5.0,18.0,11.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
