X,country,iso3,who_region,date,total_tests,case_new,case_total,death_new,death_total,population,tests_1m,cases_1m,deaths_1m,test_measure,daily_change,total_per_thousand,change_per_thousand,priority_measure,ISO_2_CODE
366.0,Argentina,BGD,EURO,2020-06-08,700616,12.0,102292.0,47.0,693.0,9006398,3365.16531851965,1044.69944468702,0.0221259624848996,SAMPLES,7174,66.6279772086656,0.3304317663954,SAMPLES,AU
639.0,Argentina,BGD,EURO,2020-06-27,991508,137.0,690.0,40.0,1815.0,25499884,744.777822138055,170.941954088889,0.627453834691954,SAMPLES,29473,139.436986906419,0.572066760047079,SAMPLES,AU
470.0,Argentina,BGD,EURO,2020-04-14,297894,7629.0,40558.0,0.0,232.0,25499884,66341.1721311894,287.648367341593,88.3816149364041,SAMPLES,22715,291.818072584173,0.0,SAMPLES,AU
902.0,Austria,ARG,EURO,2020-02-29,805600,7.0,,,569.0,45195774,39829.6713820345,25321.776807998,80.2762658279148,SAMPLES,14127,363.47149657622,1.32394770917297,SAMPLES,AT
46.0,Austria,ARG,EURO,2020-08-18,7296252,8.0,4976.0,0.0,2246.0,9006398,374870.21509588,31532.4728043331,60.179441326044,SAMPLES,0,15.9416411462891,0.769453004408644,SAMPLES,AU
429.0,Argentina,AUT,WPRO,2020-09-29,3218159,50.0,15874.0,17.0,708.0,45195774,54934.3921954149,274.079678166379,18.0035892174057,SAMPLES,30946,275.142035940242,2.60883539705514,SAMPLES,AU
372.0,Austria,ARG,EURO,2020-05-18,201794,63.0,282437.0,0.0,824.0,25499884,4341.87673166521,294.942518169887,19.6863640634601,SAMPLES,2010,62.8633110697474,0.44868103763569,SAMPLES,AT
31.0,Argentina,ARG,EURO,2020-11-23,30683,10504.0,16257.0,35.0,,164689383,12222.9569516831,284.511098168133,87.715421858994,SAMPLES,75619,275.142035940242,0.0,SAMPLES,AR
321.0,Argentina,ARG,EURO,2020-03-13,668220,426.0,,381.0,4785.0,45195774,68362.984556919,564.826098816763,88.7029836019624,SAMPLES,1184,11.6531510496283,0.0920338623164312,SAMPLES,AU
525.0,Austria,AUS,EURO,2020-05-09,8933563,14.0,13933.0,0.0,2197.0,25499884,57845.1007827991,1006.6712460339,4.0784499254977,SAMPLES,27430,176.161213395189,0.315177904338702,SAMPLES,AU
584.0,Australia,BGD,EURO,2020-09-11,185196,140.0,213254.0,0.0,2547.0,45195774,385402.851244343,,216.98931408941,SAMPLES,15672,97.7123151786097,0.203160587536348,SAMPLES,AU
515.0,Argentina,ARG,EURO,2020-03-02,955239,96.0,7290.0,5.0,1124.0,25499884,156357.181860121,108.903987350676,169.506998596816,SAMPLES,7841,259.23959833887,0.0,SAMPLES,AU
544.0,Argentina,BGD,EURO,2020-11-11,381,35.0,25838.0,,642.0,9006398,291818.072584173,30228.0916795451,0.0221259624848996,SAMPLES,9310,209.259657808639,1.24847626757832,SAMPLES,AT
257.0,Austria,ARG,SEARO,2020-02-27,9872011,120.0,111160.0,67.0,708.0,25499884,61304.1973050713,2802.34118012551,8.09810226947325,SAMPLES,70464,393.116847119775,0.433247564675689,SAMPLES,AT
482.0,Argentina,AUT,WPRO,2020-02-22,8855401,12.0,17098.0,258.0,1262.0,164689383,387139.447379447,32640.7066288985,0.10322462620435,SAMPLES,12416,276.355610088266,0.0590627022993947,SAMPLES,AT
105.0,Argentina,BGD,EURO,2020-05-10,1555499,217.0,27965.0,9.0,729.0,25499884,0.0221259624848996,28995.8747027985,12.2745656411613,SAMPLES,33128,28.4685398091446,1.4848333373675,SAMPLES,AU
746.0,Austria,BGD,WPRO,2020-03-19,1373181,7498.0,16851.0,1.0,1139.0,9006398,54361.0220201239,260.150346182304,6.08463968334739,SAMPLES,1097,98.8698256506097,0.0686200882785504,SAMPLES,AT
687.0,Argentina,ARG,SEARO,2020-04-05,147,5664.0,451198.0,7.0,102.0,45195774,63516.580112114,2836.53909143256,115.473466751081,SAMPLES,6456,200.384637043839,0.558602895408353,SAMPLES,AU
613.0,Austria,ARG,EURO,2020-12-14,239578,113.0,37948.0,468.0,7.0,9006398,234452.774572032,70.736702064224,91.4908548750598,SAMPLES,61132,6.42131253840449,0.0,SAMPLES,AT
998.0,Austria,ARG,SEARO,2020-04-17,516581,3057.0,25099.0,1.0,1926.0,164689383,400175.506680736,165.480073424564,4.54904030151667,SAMPLES,25916,7.21706510977699,1.79334149127894,SAMPLES,AU
15.0,Austria,ARG,EURO,2020-11-05,23941,11.0,27610.0,51.0,102.0,45195774,205.328931859868,20.5356285778301,35.6080051187684,SAMPLES,24786,6.19734545972523,0.0486673752369332,SAMPLES,AT
170.0,Australia,BGD,WPRO,2020-11-01,214613,31.0,49.0,6.0,8.0,25499884,23815.5009802465,18242.1480380002,1.2994158828077,SAMPLES,147,51.4032357886027,0.062311242006414,SAMPLES,AT
