date2,annee,semepi,zone_sante,report_viv,report_dc,nlle_viv,nlle_dc,investig_viv,investig_dc,valid_viv,valid_dc,preleves,swab,admis,obs,nouvelle_totale,total_alerte,total_investigues,valid_tot,prel-tot,province
2020-08-19,2020,25,Ombella-M'Poko,0.0,0.0,121,0.0,4.0,0.0,3.0,,6.0,,0.0,hgr,61.0,96.0,73.0,41.0,0,Ouaka
2020-06-15,2020,38,Ouham-Pendé,16.0,0.0,16,2.0,73.0,1.0,15.0,0.0,4.0,,0.0,hgr,4.0,2.0,125.0,2.0,0,Ouaka
2020-09-11,2020,31,Ouham,0.0,0.0,43,0.0,1.0,0.0,28.0,0.0,7.0,,0.0,"2cte, 2com",78.0,3.0,79.0,26.0,21,Ouaka
2020-09-06,2020,39,Vakaga,0.0,0.0,60,0.0,5.0,1.0,16.0,1.0,0.0,,0.0,"1cte, 2cm",106.0,40.0,25.0,4.0,17,Ouaka
2020-06-13,2020,38,Ouham-Pendé,10.0,3.0,5,1.0,121.0,1.0,0.0,0.0,4.0,,9.0,cte,24.0,4.0,137.0,0.0,5,Lobaye
2020-06-21,2020,36,Bossembélé,0.0,0.0,36,0.0,31.0,1.0,30.0,0.0,4.0,0.0,0.0,données non désagrégés par zs ni par viv vs décès,14.0,41.0,16.0,4.0,1,Lobaye
2020-08-31,2020,28,Kaga-Bandoro,33.0,0.0,176,0.0,91.0,0.0,3.0,0.0,26.0,,,données non désagrégés par zs ni par viv vs décès,5.0,5.0,3.0,12.0,5,Lobaye
2020-08-15,2020,34,Damara,0.0,0.0,77,0.0,40.0,0.0,41.0,0.0,0.0,,0.0,np,109.0,54.0,46.0,10.0,1,Ouaka
2020-09-05,2020,39,Kaga-Bandoro,23.0,0.0,1,3.0,12.0,0.0,46.0,0.0,6.0,,0.0,données non désagrégés par zs,21.0,1.0,94.0,12.0,42,Lobaye
2020-08-25,2020,32,Ombella-M'Poko,10.0,0.0,131,1.0,16.0,1.0,3.0,0.0,1.0,,0.0,admis nd,29.0,2.0,68.0,9.0,12,Lobaye
2020-06-02,2020,30,Bambari,0.0,0.0,46,0.0,3.0,,28.0,1.0,12.0,0.0,21.0,données non désagrégés par zs ni par viv vs décès,82.0,2.0,60.0,3.0,1,Ouaka
2020-09-07,2020,28,Ouaka,0.0,0.0,262,1.0,53.0,0.0,29.0,0.0,0.0,,0.0,np,34.0,60.0,39.0,5.0,11,Lobaye
2020-06-12,2020,38,Ouham,0.0,,41,0.0,5.0,,16.0,1.0,0.0,,3.0,hgr,85.0,41.0,60.0,8.0,7,Lobaye
2020-06-03,2020,26,Yaloke,5.0,,120,0.0,46.0,0.0,9.0,0.0,13.0,,,données non désagrégés par zs ni par viv vs décès,77.0,91.0,70.0,1.0,2,Lobaye
2020-07-06,2020,30,Vakaga,13.0,0.0,105,0.0,110.0,,2.0,2.0,0.0,,0.0,"2cte, 2com",64.0,44.0,30.0,33.0,1,Lobaye
2020-06-12,2020,29,Damara,2.0,0.0,10,,55.0,1.0,22.0,2.0,9.0,,0.0,données non désagrégés par zs,108.0,10.0,83.0,2.0,1,Ouaka
2020-07-07,2020,37,Ombella-M'Poko,7.0,0.0,11,0.0,1.0,0.0,1.0,1.0,22.0,,0.0,"2cte, 2com",82.0,51.0,27.0,7.0,0,Ouaka
2020-09-13,2020,35,Yaloke,67.0,,80,0.0,85.0,2.0,18.0,0.0,4.0,0.0,,hgr,23.0,25.0,87.0,22.0,0,Lobaye
2020-06-23,2020,38,Vakaga,0.0,0.0,63,0.0,62.0,0.0,1.0,0.0,40.0,,0.0,données non désagrégés par zs ni par viv vs décès,117.0,2.0,165.0,22.0,0,Ouaka
2020-09-22,2020,26,Bossembélé,1.0,0.0,131,0.0,68.0,0.0,9.0,1.0,2.0,,0.0,"2cte, 2com",72.0,214.0,8.0,10.0,31,Ouaka
2020-07-06,2020,39,Ouham,0.0,,179,2.0,36.0,1.0,10.0,1.0,0.0,,0.0,"2cte, 2com",40.0,125.0,94.0,5.0,5,Ouaka
2020-06-01,2020,30,Bambio,23.0,0.0,4,0.0,26.0,0.0,44.0,0.0,25.0,,0.0,"1cte, 2cm",1.0,164.0,21.0,22.0,0,Ouaka
2020-06-25,2020,27,Ouham,0.0,0.0,23,,11.0,2.0,16.0,0.0,13.0,,,hgr,41.0,96.0,39.0,30.0,22,Ouaka
2020-09-08,2020,28,Ouham-Pendé,7.0,0.0,48,1.0,10.0,1.0,3.0,1.0,2.0,,0.0,admis nd,195.0,130.0,79.0,31.0,4,Lobaye
2020-06-03,2020,32,Bambari,0.0,0.0,194,4.0,74.0,1.0,18.0,0.0,1.0,,0.0,cte,106.0,2.0,82.0,41.0,32,Ouaka
2020-08-30,2020,27,Vakaga,0.0,0.0,95,0.0,155.0,0.0,44.0,0.0,4.0,,,"1cte, 2cm",80.0,32.0,6.0,16.0,20,Lobaye
2020-09-12,2020,33,Ouham,2.0,0.0,11,1.0,28.0,1.0,10.0,0.0,13.0,,0.0,hgr,30.0,5.0,58.0,9.0,12,Ouaka
2020-08-13,2020,38,Ombella-M'Poko,0.0,0.0,28,0.0,15.0,0.0,4.0,9.0,0.0,,0.0,"1cte, 2cm",22.0,168.0,117.0,2.0,3,Ouaka
2020-06-08,2020,37,Bossembélé,0.0,0.0,28,0.0,40.0,0.0,5.0,0.0,5.0,,15.0,données non désagrégés par zs,151.0,82.0,105.0,1.0,1,Ouaka
