ZdS,date,sem_epi,zone_sante,aire_sante,report_viv,report_dc,nlle_viv,nlle_deces,investig_viv,investig_dc,investig_en cours_viv,investig_en cours_dc,non investig_viv,non investig_dc,valid_viv,valid_dc,acheminee_CTE,acheminee_FOSA,acheminee_en_cours,acheminee_refus,AchemineesCTE=vivants valides,total_prelev,ATTENTE_prele,REFUS_prelev,prelev=vivant valide,EDS,swabbe,REFUS_EDS,REFUS_swab,EDS=deces valides,Swab=deces valides,PoE,FOSA,Comm,recu_contact,CTE,Sources=alertes,connu_vivant,connu_deces,nouvelle_totale,total_alerte_viv,total_alerte_deces,total_alerte,total_investigues,valid_tot,%prelev,%invest,%valid
BOLOMBA,11/08/2020,34,Damara,Nola,43.0,0.0,106.0,1.0,59.0,1.0,13,1,,,0.0,1.0,0.0,,0.0,,Erreur,,,,OK,,,,,Erreur,Erreur,0.0,,48.0,,,Erreur,,,0,0,0,106,0,0,0.0,0.381037567,
BOMONGO,01/08/2020,35,Baoro,Nola,0.0,0.0,105.0,0.0,17.0,3.0,15,O,,,0.0,1.0,0.0,,,0.0,Erreur,,,,OK,,,,,Erreur,OK,,,8.0,,0.0,Erreur,,,77,165,1,98,109,0,0.0,1.0,0.0
IREBU,24/06/2020,39,Bozoum,Nola,15.0,0.0,42.0,0.0,34.0,0.0,13,1,,,0.0,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,OK,1.0,0.0,17.0,,,Erreur,,,0,48,0,0,0,0,0.0,0.919354839,0.5
LOTUMBE,23/08/2020,38,Ouham,Nola,0.0,0.0,3.0,0.0,6.0,0.0,,0,,,3.0,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,4.0,OK,Erreur,0.0,0.0,,,0.0,Erreur,,,0,72,2,0,0,37,0.0,0.666666667,
LUKOLELA,17/08/2020,36,Bozoum,Nola,0.0,0.0,87.0,1.0,0.0,0.0,9,,,,9.0,0.0,,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,24.0,0.0,,0.0,Erreur,,,52,10,0,15,2,3,0.0,,0.142857143
BIKORO,15/06/2020,38,Berberati,Nola,6.0,0.0,6.0,1.0,5.0,2.0,11,O,,,11.0,0.0,0.0,,,0.0,Erreur,,,5.0,OK,,,,,Erreur,OK,,,,,0.0,OK,,,0,87,3,73,60,25,,0.661538462,1.0
MAKANZA,12/08/2020,25,Zémio,Nola,6.0,,94.0,1.0,137.0,0.0,9,O,,,8.0,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,OK,OK,0.0,2.0,25.0,,,OK,,,11,30,1,0,29,0,0.0,0.909090909,
BOMONGO,03/09/2020,39,Bozoum,Nola,4.0,0.0,0.0,1.0,16.0,2.0,9,1,,,9.0,0.0,0.0,,,0.0,Erreur,,,,OK,,0.0,,,Erreur,OK,,0.0,1.0,,0.0,Erreur,,,112,6,0,1,18,9,0.0,0.654411765,0.247706422
LOLANGA-MAMPOKO,18/09/2020,33,Baoro,Nola,31.0,0.0,38.0,0.0,0.0,0.0,20,,,,4.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,0.0,,,0.0,,OK,,,37,1,4,53,0,9,0.0,0.807407407,0.125
IREBU,22/08/2020,26,Bozoum,Nola,24.0,0.0,158.0,0.0,0.0,,6,O,,,0.0,2.0,0.0,,,0.0,Erreur,,,,OK,,,,,OK,Erreur,,,0.0,,0.0,Erreur,,,81,0,1,27,0,56,,1.0,
