ZONE DE SANTE,AS,NC suspects,venant des alertes investiguées et validées,venant directement de service  de tri
Bria,Carnot,0,0,0.0
Basse-Kotto,Bossembélé,0,0,
Basse-Kotto,Bangui,0,0,0.0
Basse-Kotto,Nola,0,0,0.0
Basse-Kotto,Gamboula,0,0,0.0
Nana-Grébizi,Mobaye,0,0,-3.0
Basse-Kotto,Bangui,0,1,
Bria,Bambio,0,8,-2.0
Nana-Grébizi,Ndélé,0,0,0.0
Basse-Kotto,Paoua,0,1,-7.0
Bria,Bambio,0,0,0.0
Basse-Kotto,Damara,0,2,0.0
Nana-Grébizi,Nola,0,1,0.0
Basse-Kotto,Grimari,0,7,0.0
Basse-Kotto,Baoro,0,1,0.0
Basse-Kotto,Bria,0,0,0.0
Bria,Bambari,0,0,-3.0
Basse-Kotto,Bambio,0,0,-2.0
Bria,Bambio,0,5,-3.0
Basse-Kotto,Nola,0,0,0.0
Nana-Grébizi,Bambio,0,1,
Bria,Damara,0,0,0.0
Basse-Kotto,Bangassou,0,0,0.0
Basse-Kotto,Bambio,0,3,0.0
Bria,Bossembélé,0,0,-4.0
Nana-Grébizi,Nola,0,1,0.0
Basse-Kotto,Bangui,0,3,0.0
Basse-Kotto,Baoro,0,0,0.0
Nana-Grébizi,Mbaiki,0,0,0.0
Basse-Kotto,Bangui,0,0,-71.0
Basse-Kotto,Ippy,0,0,-2.0
Basse-Kotto,Bria,0,71,
Basse-Kotto,Carnot,0,0,0.0
Bria,Zémio,0,0,-7.0
Bria,Bambari,0,0,
Basse-Kotto,Bambio,0,0,0.0
Basse-Kotto,Mbaiki,0,2,0.0
Nana-Grébizi,Mbaiki,0,1,0.0
Basse-Kotto,Bimbo,0,0,
Basse-Kotto,Bangui,0,1,-71.0
Basse-Kotto,Zémio,0,0,-5.0
Nana-Grébizi,Zémio,0,3,0.0
Basse-Kotto,Bozoum,0,0,0.0
Nana-Grébizi,Bambio,0,0,0.0
Bria,Paoua,0,2,0.0
Basse-Kotto,Gamboula,0,71,0.0
Nana-Grébizi,Amada-Gaza,0,1,-4.0
Bria,Bimbo,0,0,0.0
Basse-Kotto,Bambio,0,0,
Nana-Grébizi,Ippy,0,1,-7.0
Basse-Kotto,Baboua,0,7,0.0
Basse-Kotto,Bimbo,0,0,-4.0
Bria,Bimbo,0,0,0.0
Basse-Kotto,Bozoum,0,0,-7.0
Basse-Kotto,Bimbo,0,1,0.0
Nana-Grébizi,Bambio,0,2,
Basse-Kotto,Damara,0,0,-2.0
Bria,Bambari,0,0,0.0
Basse-Kotto,Grimari,0,1,-5.0
Nana-Grébizi,Ndélé,0,0,0.0
Nana-Grébizi,Bozoum,0,0,-3.0
Nana-Grébizi,Bangassou,0,2,0.0
Basse-Kotto,Baboua,0,0,-4.0
