Date,annee,Semaine,Zone_sante,total_a_suivre,suivis,non_suivis,nouveau_contacts,cas_suspects,contacts_sortis,Données manquantes,jamais_vus,non_vus_48h,pdv,reticences,deplaces,reste_a_suivre
43383,2018,37,Kaga-Bandoro,92,354.0,19,,,,,,,,,,
43378,2018,45,Bambio,201,379.0,254,,,0.0,,,,,,,
43395,2018,50,Kémo,57,117.0,0,,,,,,,,,,
43373,2018,37,Kémo,62,92.0,1,,,,,,,,,,
43416,2018,34,Bangui,85,161.0,12,,1.0,0.0,,,,,,,
43374,2018,50,Ouham-Pendé,487,163.0,32,,,,,,,,,,
43329,2018,48,Kaga-Bandoro,368,41.0,4,,,,,,,,,,
43423,2018,49,Ouham-Pendé,87,94.0,0,,,,,,,,,,
43325,2018,45,Kaga-Bandoro,119,837.0,7,,,,,,,,,,
43367,2018,42,Kémo,57,41.0,1,,,,,,,,,,
43383,2018,37,Mobaye,286,844.0,4,,,,,,,,,,
29/11/2018,2018,36,Bangui,161,45.0,244,,,,,,,,,,
43408,2018,37,Mbomou,687,114.0,0,,,,,,,,,,
30/11/2018,2018,38,Gamboula,137,713.0,6,,,,,,,,,,
43410,2018,50,Amada-Gaza,325,298.0,7,,,,,,,,,,
43403,2018,39,Mbomou,2950,134.0,0,,,,,,,,,,
43396,2018,36,Kaga-Bandoro,616,137.0,20,,,,,,,,,,
29/11/2018,2018,49,Paoua,53,9.0,9,,0.0,,,,,,,,
43343,2018,44,Kaga-Bandoro,147,147.0,22,,,,,,,,,,
43332,2018,45,Kaga-Bandoro,35,183.0,6,,0.0,,,,,,,,
43338,2018,43,Carnot,243,110.0,0,,,,,,,,,,
43339,2018,41,Gamboula,403,447.0,2,,,,,,,,,,
04/12/2018,2018,38,Ouham-Pendé,4728,211.0,16,33.0,,,,,,,,,
43409,2018,32,Kémo,581,4538.0,14,2.0,,,,,,,,,
14/12/2018,2018,50,Gamboula,163,783.0,7,,,,,,,,,,
43365,2018,49,Bimbo,298,42.0,0,,,0.0,,,,,,,
43414,2018,50,Paoua,243,748.0,0,,,,,,,,,,
14/12/2018,2018,32,Mbomou,207,162.0,9,0.0,0.0,,,,,,,,
07/12/2018,2018,40,Kémo,347,112.0,57,,,,,,,,,,
04/12/2018,2018,44,Kaga-Bandoro,147,163.0,0,,,,,,,,,,
43373,2018,45,Mobaye,212,353.0,28,,,,,,,,,,
01/12/2018,2018,34,Ouham-Pendé,84,197.0,0,,0.0,,,,,,,,
16/12/2018,2018,47,Bambio,6,45.0,6,,0.0,,,,,,,,
43380,2018,43,Bambio,455,84.0,4,,,,,,,,,,
43330,2018,50,Kaga-Bandoro,4439,3331.0,0,,,,,,,,,,
43351,2018,33,Kaga-Bandoro,37,42.0,19,,0.0,,,,,,,,
43369,2018,39,Kémo,352,1930.0,0,,,,,,,,,,
08/12/2018,2018,42,Bangui,562,124.0,148,,,,,,,,,,
43383,2018,37,Bambio,35,174.0,2,,,,,,,,,,
43404,2018,50,Ouham-Pendé,633,120.0,110,,,,,,,,,,
43362,2018,45,Kaga-Bandoro,181,381.0,0,,0.0,,,,,,,,
43348,2018,49,Kémo,57,53.0,1,,,,,,,,,,
08/12/2018,2018,48,Paoua,764,237.0,0,,,,,,,,,,
43403,2018,50,Bimbo,97,124.0,11,,2.0,,,,,,,,
43331,2018,45,Mbomou,110,149.0,4,,,,,,,,,,
43336,2018,44,Zémio,117,288.0,254,,,,,,,,,,
43340,2018,42,Bimbo,316,163.0,0,,,,,,,,,,
07/12/2018,2018,44,Zémio,170,243.0,209,,,,,,,,,,
43322,2018,41,Carnot,6,734.0,1,,,,,,,,,,
43341,2018,38,Mbomou,257,652.0,8,,,,,,,,,,
43322,2018,45,Ouham-Pendé,168,267.0,0,,,,,,,,,,
43422,2018,38,Mbomou,514,651.0,3,,,,,,,,,,
43359,2018,47,Zémio,894,45.0,28,,,,,,,,,,
43362,2018,41,Mobaye,276,45.0,20,,,,,,,,,,
43373,2018,46,Kaga-Bandoro,57,94.0,23,,,,,,,,,,
43418,2018,37,Paoua,84,3456.0,294,,,,,,,,,,
43391,2018,49,Carnot,379,133.0,0,,,,,,,,,,
43365,2018,37,Zémio,456,1418.0,4,,,,,,,,,,
43397,2018,45,Bambio,459,1.0,2,0.0,,,,,,,,,
43405,2018,32,Mobaye,3601,53.0,1,,,,,,,,,,
03/12/2018,2018,40,Bambio,52,748.0,0,,,,,,,,,,
43333,2018,41,Zémio,37,1.0,1,4.0,,,,,,,,,
43365,2018,39,Bambio,305,53.0,0,0.0,0.0,,,,,,,,
43329,2018,45,Kaga-Bandoro,2122,155.0,2,,0.0,0.0,,,,,,,
43395,2018,38,Mbomou,528,2627.0,10,0.0,,,,,,,,,
43413,2018,34,Mobaye,67,420.0,9,,,,,,,,,,
43388,2018,39,Mambéré-Kadéï,89,217.0,8,,,,,,,,,,
43390,2018,49,Mobaye,110,18.0,5,,,1.0,,,,,,,
43321,2018,38,Kaga-Bandoro,71,1020.0,7,,2.0,,,,,,,,
43327,2018,36,Bambio,2122,904.0,0,,,,,,,,,,
43327,2018,43,Kaga-Bandoro,863,113.0,11,,4.0,,,,,,,,
43375,2018,48,Mbomou,117,89.0,311,,,,,,,,,,
43410,2018,41,Gamboula,59,260.0,66,,0.0,,,,,,,,
43353,2018,40,Ouham-Pendé,838,147.0,1,,,,,,,,,,
43431,2018,45,Bimbo,200,197.0,28,,,,,,,,,,
43380,2018,42,Gamboula,330,72.0,11,,,,,,,,,,
02/12/2018,2018,46,Mobaye,526,845.0,193,,,,,,,,,,
43397,2018,38,Mambéré-Kadéï,49,145.0,1,69.0,,,,,,,,,
43371,2018,34,Gamboula,161,45.0,1,,,,,,,,,,
43366,2018,46,Kaga-Bandoro,2141,78.0,2,,,67.0,,,,,,,
43391,2018,34,Paoua,72,147.0,39,,,,,,,,,,
43362,2018,45,Ouham-Pendé,1348,524.0,6,,,,,,,,,,
43407,2018,50,Gamboula,245,0.0,0,,,,,,,,,,
43370,2018,43,Kaga-Bandoro,39,241.0,0,,,,,,,,,,
43380,2018,34,Mbomou,406,52.0,0,,,,,,,,,,
43386,2018,40,Mbomou,865,310.0,6,,,,,,,,,,
43410,2018,41,Gamboula,200,97.0,0,,,,,,,,,,
43390,2018,41,Carnot,752,174.0,0,,0.0,,,,,,,,
43369,2018,36,Bambio,81,194.0,89,,0.0,,,,,,,,
43383,2018,50,Bambio,163,253.0,16,,,,,,,,,,
43396,2018,45,Ouham-Pendé,84,615.0,9,,,0.0,,,,,,,
43393,2018,48,Bangui,142,200.0,384,,0.0,,,,,,,,
29/11/2018,2018,41,Bambio,65,863.0,0,,,,,,,,,,
09/12/2018,2018,47,Mbomou,63,79.0,0,,,,,,,,,,
43398,2018,33,Carnot,159,520.0,9,,0.0,,,,,,,,
43416,2018,47,Paoua,67,52.0,0,,,,,,,,,,
43422,2018,47,Mbomou,46,859.0,2,,,,,,,,,,
43373,2018,45,Ouham-Pendé,795,172.0,2,,,,,,,,,,
43323,2018,47,Mobaye,1092,2248.0,1,,,,,,,,,,
