Date,annee,Semaine,Province,Zone_sante,Report,nouveau_contacts,total_a_suivre,suivis,non_suivis,cas_suspects,sortis_doublons,sortis_recycle,sortis_dcd,sortis_conf,contacts_sortis_21jrs,jamais_vus,simple absence,pdv,reticences,deplaces,reste_a_suivre,Observations,vacc,prop_suivis,check1,check2,prop_vacc
2020-09-23,2020,37,Sangha-Mbaéré,Paoua,1080.0,24.0,115.0,203.0,89.0,2.0,,,,,63.0,5.0,,4.0,,,215.0,,,99.6913580246914,0.0,0.0,
2020-06-06,2020,33,Sangha-Mbaéré,Damara,136.0,0.0,854.0,2602.0,49.0,,,,,,0.0,,31.0,0.0,,,245.0,Check 42 sup 41,,8.09968847352025,0.0,-786.0,0.0
2020-06-24,2020,39,Vakaga,Damara,375.0,0.0,1.0,504.0,25.0,0.0,,,,,0.0,0.0,89.0,7.0,,,154.0,check 77 sup à 65,,85.6219709208401,11.0,-49.0,
2020-08-22,2020,36,Sangha-Mbaéré,Zémio,621.0,301.0,1.0,341.0,16.0,0.0,,,,,0.0,,0.0,,,0.0,1207.0,Check 145 sup 22,80.0,88.2845188284519,0.0,-17.0,0.0
2020-07-28,2020,36,Vakaga,Bangui,86.0,98.0,127.0,203.0,340.0,0.0,,,,,0.0,5.0,79.0,,0.0,,418.0,check 41 sup à 29,37.0,96.9924812030075,0.0,0.0,0.0
2020-08-01,2020,27,Vakaga,Zémio,9195.0,0.0,416.0,1850.0,833.0,1.0,,,,,0.0,4.0,0.0,1.0,0.0,1.0,1347.0,check 59 sup à 46,0.0,98.1132075471698,0.0,0.0,
2020-09-08,2020,31,Sangha-Mbaéré,Ouham-Pendé,1464.0,0.0,1.0,3.0,72.0,8.0,,,,,0.0,4.0,10.0,0.0,,0.0,172.0,check 35 sup à 23,,88.860103626943,252.0,0.0,
2020-06-05,2020,36,Sangha-Mbaéré,Bozoum,1093.0,0.0,205.0,44.0,64.0,1.0,,,,,0.0,,0.0,12.0,,0.0,0.0,check 75 sup à 27,1.0,92.5566343042071,15.0,-17.0,25.1256281407035
2020-08-07,2020,25,Sangha-Mbaéré,Gamboula,659.0,377.0,115.0,300.0,67.0,0.0,,,,,0.0,,,3.0,,,57.0,check 77 sup à 65,52.0,91.1483253588517,129.0,0.0,
2020-08-28,2020,26,Vakaga,Yaloke,521.0,0.0,64.0,293.0,229.0,9.0,1.0,,,,0.0,0.0,32.0,2.0,,,54.0,Check 145 sup 22,0.0,69.1318327974276,0.0,-13.0,
2020-08-17,2020,30,Sangha-Mbaéré,Gamboula,142.0,0.0,1232.0,1883.0,1232.0,3.0,,,,,0.0,0.0,9.0,,0.0,,275.0,Check 1 sup à 0,20.0,100.0,49.0,0.0,
2020-06-14,2020,32,Vakaga,Zémio,9701.0,0.0,,307.0,42.0,0.0,,,,,0.0,29.0,,0.0,0.0,,1682.0,check 30 sup à 18,,95.7903780068729,2.0,-2.0,0.0
